id,product,source,review,date
1,iPhone 14,Amazon,Great battery life but the heating issue is annoying.,2026-03-01
2,iPhone 14,Amazon,The camera quality is the best I've ever seen.,2026-03-02
3,iPhone 14,BestBuy,Too expensive for what it offers.,2026-03-03
4,iPhone 14,Amazon,Software bugs are ruining the experience.,2026-03-04
5,iPhone 14,Amazon,Sleek design and fast performance.,2026-03-05
6,iPhone 15,BestBuy,Amazing display, totally worth the price.,2026-03-06
7,iPhone 15,Amazon,Battery drains too fast after the update.,2026-03-07
8,iPhone 14,Amazon,Solid phone but no real upgrades from 13.,2026-03-08
9,iPhone 14,Amazon,Love the design but price value is debatable.,2026-03-09
10,iPhone 15,Amazon,Heating issue when charging, otherwise fine.,2026-03-10
