topic_id,topic_label,keywords,document_count
-1,Outlier/Uncategorized,"mixed, various",335
0,Camera & Iphone Camera,"camera, iphone camera, pro, iphone, iphone 17",168
1,Battery & Iphone Battery,"battery, iphone battery, battery life, life, draining",87
2,Iphone Air & Air,"iphone air, air, air review, review, york",65
3,Battery & Anker,"battery, anker, iphone 18, 17 air, air",61
4,Update & Ios 26,"update, ios 26, 26, ios, 26 update",57
5,Review & Max Review,"review, max review, iphone 17, 17, 17 pro",35
6,9To5Mac Ios & 9To5Mac,"9to5mac ios, 9to5mac, 26, ios 26, ios",34
7,Macrumors & Macrumors Iphone,"macrumors, macrumors iphone, features, macworld, features macrumors",32
8,Twitter & Beebom,"twitter, beebom, tweet, twitter iphone, change",31
9,Performance & A19,"performance, a19, a19 pro, faster, pro",30
10,15 & Iphone 15,"15, iphone 15, 15 pro, refurbished, amazon",30
11,Vs & Vs Iphone,"vs, vs iphone, 16e vs, iphone 15, 15",28
12,Forbes & Forbes Ios,"forbes, forbes ios, iphone update, update forbes, update",27
13,India & Mashable India,"india, mashable india, launch, series, 17 series",26
14,Macrumors Ios & Macrumors,"macrumors ios, macrumors, ios 26, 26, ios",25
15,Talkingtechandaudio Com & Talkingtechandaudio,"talkingtechandaudio com, talkingtechandaudio, com iphone, iphone 16e, 16e",23
16,17 & Iphone 17,"17, iphone 17, 17 pro, stores, pro",22
17,Warning & Users Forbes,"warning, users forbes, iphone users, forbes, users",21
18,Orange & Colors,"orange, colors, turning, boring, fans",19
19,Tom Guide & Tom,"tom guide, tom, guide, using iphone, using",19
20,Glass & Liquid,"glass, liquid, design, 26 beta, ios 26",19
21,Vs Iphone & Vs,"vs iphone, vs, pro vs, iphone 16, 9to5mac iphone",18
22,Flipkart & Billion,"flipkart, billion, sale, days, 16",18
23,Forbes Apple & Iphone 16,"forbes apple, iphone 16, 16, prices, forbes",17
24,Phonearena & Phonearena Iphone,"phonearena, phonearena iphone, mobile, problems, iphone 17",15
25,Ios 18 & Geeky Gadgets,"ios 18, geeky gadgets, geeky, gadgets, 18",15
26,Chamber & Vapor Chamber,"chamber, vapor chamber, vapor, 17 pro, pro",15
27,Com Apple & Service,"com apple, service, iphone 14, 14, 18 pro",13
28,Trump & Tim,"trump, tim, tim cook, cook, little",12
29,Techradar & Buy New,"techradar, buy new, months iphone, switched, techradar apple",12
30,16E Review & Review,"16e review, review, 16e, iphone 16e, review year",12
31,Leak & 17 Air,"leak, 17 air, battery, minute, esim",11
32,Memes & Netizens,"memes, netizens, express, indian express, indian",10
33,Air & Lineup,"air, lineup, yahoo finance, finance, iphone air",10
34,Geeky & Geeky Gadgets,"geeky, geeky gadgets, gadgets, iphone performance, shortcut",10
